Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria
Primas Sukses Cv,Staff Toko Material,Tangerang Selatan,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Ritel', 'Asisten Ritel']"
PT Pradana Grasindo Travel,Staff Graphic Designer,Jakarta Utara,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']"
PT DARLINGS JAYA INDONESIA,Marketing Koordinator,Jakarta Selatan,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Manajemen Pemasaran']"
LPK Harenohi Indonesia,Guru Bahasa Jepang,Jakarta Pusat,Rp 3 – 4 Juta,Freelance,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Staff / Officer', 'Pendidikan Dan Pelatihan', 'Tutor / Instruktur']"
Central Conveyor Belting,General Admin,Jakarta Barat,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Administrasi', 'Staf Admin']"
PT ATHIF BERKAH INDONESIA,Crew Stockist,Ungaran,Rp 2 – 3 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Transportasi & Logistik', 'Warehouse']"
PT. ENERGI KHARISMA ABADI,Teknisi Forklift Diesel dan Electric,Sidoarjo,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '6-10 Tahun', 'Staff / Officer', 'Teknik', 'Teknik Mesin']"
PT Agrowisata Magnet Rezeki,Legal Officer,Depok,Rp 4 – 5 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Staff / Officer', 'Hukum', 'Legal Staff']"
CV ESTEEM SUPPLIES,Staff Pola,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Busana & Tekstil']"
CV ESTEEM SUPPLIES,Desain Produk,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Busana & Tekstil']"
CV ESTEEM SUPPLIES,Penjahit Tas,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', '3-5 Tahun', 'Staff / Officer', 'Keterampilan & Jasa', 'Penjahit & Konveksi']"
PT Dayup Indo,Staff R&D (Sport Accessories),Jakarta Utara,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Desain & Arsitektur', 'Desain Busana & Tekstil']"
PT. Kurnia Wijaya Aneka Industri,Sales Executive,Sidoarjo,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']"
My Capsule Batavia,Cook Staff,Jakarta Pusat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Restaurant', 'Koki / Chef']"
PT Ganesha Karya Persada (Ganesha Work),Talent Acquisition ( Internship ),Depok,Rp 1 - 2 Juta,Magang,SMA / SMK / STM,,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Human Resources', 'Staf Rekrutmen']"
Arba Citra Rasa,Sales Manager Property,Jakarta Selatan,Rp 8 – 9 Juta,Full Time,Sarjana / S1,3-5 Tahun,"['6-10 Tahun', 'Manager / Assistant Manager', 'Properti & Real Estate', 'Manajemen Properti']"
PT Wira Niaga,Staf Administrasi Keuangan,Jakarta Barat,Rp 3 – 4 Juta,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
PT. Unitama Analitika Perkasa Cab Surabaya,Sales Marketing,Surabaya,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']"
Assa Hair & Beauty Salon,Call Center,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Layanan Pelanggan', 'Call Center']"
Assa Hair & Beauty Salon,General Administration,Surabaya,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Administrasi', 'Staf Admin']"
PT Emaklon Indo Manufaktur,Apoteker Penanggung Jawab,Tulungagung,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Manager / Assistant Manager', 'Kesehatan & Medis', 'Apoteker & Farmasi']"
Assa Hair & Beauty Salon,Capster,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Junior / Entry Level', 'Kecantikan & Perawatan', 'Tata Rambut & Salon']"
PT Artha Asia Prima,Sales Excecutive (HORECA),Bekasi,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Ritel', 'Asisten Ritel']"
Assa Hair & Beauty Salon,Costumer Service,Surabaya,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Layanan Pelanggan', 'Customer Service']"
PT Artha Asia Prima,Sales Excecutive (HORECA),Kabupaten Tangerang,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Ritel', 'Asisten Ritel']"
QIC Arsitek,Supervisor Kontraktor,Jakarta Utara,Negosiasi,Full Time,Diploma/D1/D2/D3,3-5 Tahun,"['Sarjana / S1', '6-10 Tahun', 'Supervisor / Coordinator', 'Konstruksi dan Bangunan', 'Site Supervisor / Pengawas Lapangan']"
PT. Wirama Mercu Metal,Admin Sosial Media,Jakarta Utara,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Marketing / Pemasaran', 'Content Marketing']"
PT ATHIF BERKAH INDONESIA,Staff Kemitraan,Makassar,Rp 2 – 3 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Layanan Pelanggan', 'Customer Service']"
Mitrasindo Printing,Asisten Mesin Cetak SM 102,Jakarta Utara,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Pabrik dan Manufaktur', 'Operator Mesin']"
PT. GRAHA AUTO PERKASA,Marketing Executive,Batam,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Fresh Graduate', 'Staff / Officer', 'Marketing / Pemasaran', 'Komunikasi Pemasaran']"
